County,heart,medcare_full_cov_amt,Population,CrimeRatePer100K,state,Max AQI
2011_ar_arkansas,181.23333333333332,3810.0,3317,6180.283,ar,79
2010_ar_ashley,187.26,4588.0,5507,4812.057,ar,72
2011_ar_ashley,184.62,4678.0,2879,10038.207,ar,95
2012_ar_ashley,192.41,4776.0,2883,9157.128,ar,73
2013_ar_ashley,201.05,4900.0,13222,1943.7302,ar,88
2014_ar_ashley,190.75,4995.0,5339,3446.3384,ar,73
2010_ar_clark,186.65,4047.0,10714,2090.7224,ar,126
2013_ar_clark,179.79000000000002,4197.0,9303,2526.067,ar,112
2014_ar_clark,155.98,4247.0,10721,2471.7844,ar,90
2010_ar_crittenden,370.19,7373.0,26245,2670.9849,ar,164
2011_ar_crittenden,371.83000000000004,7537.0,9973,6878.572,ar,161
2012_ar_crittenden,377.24,7724.0,9859,6947.967,ar,156
2013_ar_crittenden,396.96999999999997,7847.0,12258,5408.713,ar,104
2014_ar_crittenden,369.32,8033.0,9405,6996.2783,ar,93
2010_ar_faulkner,146.8,13969.0,3815,15674.967,ar,78
2011_ar_faulkner,163.60000000000002,14608.0,713,81065.914,ar,83
2012_ar_faulkner,168.92222222222222,15122.0,60700,1052.7184,ar,70
2010_ar_garland,207.71818181818182,23994.0,35193,1409.3712,ar,72
2011_ar_garland,222.26363636363632,24620.0,61291,734.20245,ar,83
2012_ar_garland,227.5909090909091,25071.0,61771,739.8294,ar,74
2013_ar_garland,214.06363636363633,25586.0,61612,665.4548,ar,72
2014_ar_garland,207.25454545454548,25920.0,61536,338.01352,ar,79
2010_ar_jackson,259.14444444444445,3779.0,7879,3401.4468,ar,90
2011_ar_jackson,202.33333333333334,3785.0,7939,3715.8333,ar,77
2012_ar_jackson,193.73333333333332,3814.0,794,40176.324,ar,76
2013_ar_jackson,189.91111111111113,3822.0,5956,4281.397,ar,79
2014_ar_jackson,204.36666666666667,3802.0,5904,4607.046,ar,83
2011_ar_phillips,571.23,4212.0,12375,1082.8282,ar,83
2012_ar_phillips,553.12,4219.0,12152,2065.5037,ar,63
2010_ar_pope,138.8125,10611.0,2838,13565.892,ar,93
2011_ar_pope,141.22500000000002,10877.0,28131,1436.1381,ar,83
2012_ar_pope,157.7625,11054.0,28267,1344.3239,ar,66
2010_ar_pulaski,221.7076923076923,57053.0,51102,3144.6912,ar,133
2011_ar_pulaski,248.44615384615386,58672.0,17293,9020.991,ar,147
2012_ar_pulaski,277.03846153846155,60603.0,196055,788.55426,ar,150
2013_ar_pulaski,287.7076923076923,62299.0,29900,5207.358,ar,108
2014_ar_pulaski,293.0076923076923,64190.0,67031,2367.5613,ar,115
2010_ar_sebastian,161.06666666666666,20609.0,86209,945.37695,ar,84
2011_ar_sebastian,161.3,21178.0,9020,9046.563,ar,74
2010_ar_union,189.57,9009.0,18884,1599.2375,ar,95
2011_ar_union,186.57999999999998,9090.0,19027,1508.3828,ar,87
2012_ar_union,189.06,9164.0,18860,1336.1613,ar,89
2013_ar_union,198.32,9185.0,18375,1502.0408,ar,99
2014_ar_union,195.73000000000002,9214.0,21975,1346.9852,ar,70
2011_ar_van buren,317.5,4769.0,12632,1013.29956,ar,42
2010_ar_washington,183.6916666666667,23237.0,46915,2302.0356,ar,112
2011_ar_washington,158.04545454545453,24179.0,47269,2284.7957,ar,140
2012_ar_washington,159.86363636363637,25150.0,71668,1646.4811,ar,151
2013_ar_washington,232.04999999999998,26144.0,2794,40372.227,ar,97
2014_ar_washington,376.14166666666665,27080.0,80263,1166.1663,ar,86
2010_ar_white,415.02222222222224,13776.0,22858,2931.14,ar,89
2011_ar_white,289.82222222222225,14087.0,7370,7408.4126,ar,78
2010_ca_alameda,269.2,165477.0,214089,1833.8168,ca,179
2011_ca_alameda,269.0266666666667,171619.0,85949,4349.091,ca,147
2012_ca_alameda,277.02666666666664,178778.0,75467,4886.9043,ca,161
2013_ca_alameda,258.1333333333333,185219.0,10963,34169.48,ca,122
2014_ca_alameda,238.90666666666667,191421.0,117753,3226.2449,ca,133
2010_ca_amador,128.41,8351.0,23021,2232.744,ca,151
2011_ca_amador,125.3,8723.0,4706,9286.018,ca,119
2012_ca_amador,129.8,9030.0,2513,17349.781,ca,156
2013_ca_amador,132.95999999999998,9293.0,4549,9826.335,ca,108
2014_ca_amador,133.66666666666666,9583.0,22650,1969.095,ca,133
2010_ca_butte,232.47692307692307,40356.0,15546,7944.166,ca,126
2011_ca_butte,238.57692307692307,41359.0,15729,7877.1694,ca,149
2012_ca_butte,238.34615384615384,42530.0,87090,1436.4451,ca,186
2013_ca_butte,257.8384615384615,43570.0,84062,1435.845,ca,169
2014_ca_butte,242.47692307692307,44596.0,6558,18801.465,ca,155
2010_ca_calaveras,155.11111111111111,10047.0,41742,852.858,ca,154
2011_ca_calaveras,147.0111111111111,10416.0,3881,9327.493,ca,143
2012_ca_calaveras,144.85555555555555,10802.0,3826,8729.744,ca,156
2013_ca_calaveras,139.58888888888887,11158.0,40827,881.7694,ca,119
2014_ca_calaveras,142.3111111111111,11456.0,3716,9472.551,ca,115
2010_ca_colusa,326.9,2821.0,10325,3835.351,ca,119
2011_ca_colusa,317.8875,2884.0,10447,3321.5276,ca,105
2012_ca_colusa,313.575,2924.0,10484,3443.342,ca,202
2013_ca_colusa,310.6375,3016.0,10296,3389.6658,ca,126
2014_ca_colusa,295.3875,3112.0,10322,3448.944,ca,99
2010_ca_contra costa,267.15714285714284,133494.0,64173,6744.269,ca,154
2011_ca_contra costa,241.67333333333332,138969.0,103575,4025.1023,ca,131
2012_ca_contra costa,241.06,145360.0,105009,3930.1392,ca,154
2013_ca_contra costa,224.14,151170.0,106447,3893.017,ca,115
2014_ca_contra costa,226.67333333333332,156735.0,16953,24467.646,ca,133
2010_ca_del norte,243.8,4983.0,7643,5272.799,ca,52
2011_ca_del norte,249.54000000000002,5038.0,21213,1829.067,ca,54
2012_ca_del norte,264.0444444444445,5143.0,7723,3755.0173,ca,45
2013_ca_del norte,266.3,5199.0,7333,4922.951,ca,72
2010_ca_el dorado,171.14166666666665,28837.0,149266,483.70026,ca,192
2011_ca_el dorado,160.78333333333333,30053.0,21655,3181.7131,ca,172
2012_ca_el dorado,161.95000000000002,31576.0,21586,3224.3123,ca,177
2013_ca_el dorado,150.73333333333332,33052.0,149028,473.73645,ca,147
2014_ca_el dorado,153.39166666666668,34563.0,21379,3367.791,ca,161
2010_ca_fresno,367.58,99826.0,11382,25355.824,ca,209
2011_ca_fresno,354.58,102629.0,11143,23647.133,ca,197
2012_ca_fresno,349.4,105684.0,506011,562.0431,ca,212
2013_ca_fresno,358.08,108919.0,508876,583.83575,ca,197
2014_ca_fresno,321.5,112244.0,11480,25052.264,ca,197
2010_ca_glenn,302.11249999999995,4578.0,6166,7979.241,ca,91
2011_ca_glenn,307.33750000000003,4656.0,7377,6384.7095,ca,105
2012_ca_glenn,300.175,4765.0,7361,6099.715,ca,106
2013_ca_glenn,330.975,4921.0,7420,5795.1484,ca,101
2014_ca_glenn,331.5125,5024.0,14455,2912.487,ca,105
2010_ca_humboldt,235.07500000000002,22042.0,17231,6389.646,ca,71
2011_ca_humboldt,227.20833333333334,22603.0,74400,1418.0107,ca,78
2012_ca_humboldt,230.23333333333332,23299.0,74296,1526.3271,ca,72
2013_ca_humboldt,235.71666666666667,23906.0,73717,1471.8451,ca,108
2014_ca_humboldt,223.875,24646.0,17748,6079.558,ca,164
2010_ca_imperial,273.40000000000003,20714.0,43717,2946.2222,ca,140
2011_ca_imperial,293.19166666666666,21344.0,14931,8157.5244,ca,164
2012_ca_imperial,289.325,22077.0,43643,2795.4082,ca,274
